,ISBN13,Title,Author,My Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Added,Private Notes,recommended
728,9780762777563,How to Walk a Puma: And Other Things I Learned While Stumbling through South America,Peter Allison,3,Lyons Press,200.0,2011.0,2011.0,2018-08-11,,False
729,,The Brain: What Everyone Needs To Know®,Gary L. Wenk,5,Oxford University Press,191.0,2017.0,,2018-01-03,,False
730,9781400066117,Mom & Me & Mom,Maya Angelou,4,Random House,201.0,2013.0,2013.0,2018-01-03,,False
731,9780385349949,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,3,Knopf,217.0,2013.0,2013.0,2018-08-11,,False
732,9780195136241,Vanishing Voices: The Extinction of the World's Languages,Daniel Nettle,5,"Oxford University Press, USA",256.0,2000.0,2000.0,2018-01-03,,True
733,9781401301064,The World According to Mister Rogers: Important Things to Remember,Fred Rogers,4,Hachette Books,198.0,2003.0,2003.0,2018-05-19,,False
734,9780198718659,Once Upon a Time: A Short History of Fairy Tale,Marina Warner,4,Oxford University Press,201.0,2014.0,2014.0,2018-01-03,,False
735,9780345371980,Last Chance to See,Douglas Adams,5,Ballantine Books,256.0,1992.0,1990.0,2018-04-20,,False
736,9780198500650,The Evolution of Plants,K.J. Willis,4,"Oxford University Press, USA",378.0,2002.0,2002.0,2018-01-03,,False
737,9780195123753,"Music, Language, and the Brain",Aniruddh D. Patel,4,"Oxford University Press, USA",528.0,2007.0,2007.0,2018-05-28,,False
738,,"So, Anyway...",John Cleese,4,Crown Archetype,400.0,2014.0,2014.0,2018-01-03,,False
739,9780143038252,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,1,Penguin ,349.0,2007.0,2006.0,2018-04-20,,False
740,9781280909610,A Movable Feast: Ten Millennia of Food Globalization,Kenneth F. Kiple,4,Cambridge University Press,368.0,2010.0,2007.0,2018-01-03,,False
741,,The Hawaiian Archipelago,Isabella Lucy Bird,4,,286.0,,1875.0,2018-07-07,,False
742,9781885211576,Unbeaten Tracks in Japan,Isabella Lucy Bird,4,Travelers' Tales,400.0,2000.0,1885.0,2018-05-30,,False
743,9781438508887,Among the Tibetans,Isabella Lucy Bird,3,Book Jungle,72.0,2009.0,1894.0,2018-05-22,,False
744,9780806113289,A Lady's Life in the Rocky Mountains,Isabella Lucy Bird,4,University of Oklahoma Press,282.0,1975.0,1879.0,2018-05-05,,False
745,9781405204262,The Tao of Pooh,Benjamin Hoff,5,Egmont Books,176.0,2003.0,1982.0,2018-08-09,,True
746,9780307957245,Hallucinations,Oliver Sacks,3,Knopf,326.0,2012.0,2012.0,2018-06-17,,False
747,9780385352567,The River of Consciousness,Oliver Sacks,3,Knopf Publishing Group,256.0,2017.0,2017.0,2018-05-16,,False
748,9780307377333,Incognito: The Secret Lives of the Brain,David Eagleman,5,Pantheon,290.0,2011.0,2011.0,2018-02-25,,True
749,9780199914012,Plants and the Human Brain,David O. Kennedy,5,"Oxford University Press, USA",400.0,2014.0,2013.0,2018-01-03,,True
750,9780199211425,Personality: What Makes You the Way You Are,Daniel Nettle,5,"Oxford University Press, USA",298.0,2007.0,2007.0,2018-02-24,,True
751,9780691143675,The Dead Sea Scrolls: A Biography,John J. Collins,2,Princeton University Press,288.0,2012.0,2012.0,2018-04-01,,False
752,9781681776484,The Family Medici: The Hidden History of the Medici Dynasty,Mary  Hollingsworth,2,Pegasus Books,528.0,2018.0,2017.0,2018-04-12,,False
753,9780751529814,Tuesdays with Morrie,Mitch Albom,1,Warner,210.0,2000.0,1997.0,2018-04-29,,False
754,9780553380170,Wouldn't Take Nothing for My Journey Now,Maya Angelou,4,Bantam,127.0,1997.0,1993.0,2018-05-28,,True
755,9780393355628,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,2,W. W. Norton  Company,400.0,2018.0,1985.0,2018-08-11,,False
756,9780989794800,Twelve Years a Slave,Solomon Northup,3,Eakin Films & Publishing,363.0,2013.0,1853.0,2018-01-27,,False
757,9780224097000,H is for Hawk,Helen Macdonald,1,Jonathan Cape,300.0,2014.0,2014.0,2018-04-01,,False
758,9780553279375,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4,Bantam Books,289.0,1993.0,1969.0,2018-01-21,,False
759,9781400069255,Second Suns: Two Doctors and Their Amazing Quest to Restore Sight and Save Lives,David Oliver Relin,4,Random House,432.0,2013.0,2013.0,2018-07-24,,False
760,9780393352986,The Dream of Reason: A History of Western Philosophy from the Greeks to the Renaissance,Anthony Gottlieb,2,W. W. Norton  Company,512.0,2016.0,2000.0,2018-06-07,,False
761,9780679772897,Thinking in Pictures: My Life with Autism,Temple Grandin,5,Vintage,240.0,2006.0,1995.0,2018-08-08,,True
762,9781473632004,"Cheer Up, Love: Adventures in Depression with the Crab of Hate",Susan Calman,3,Two Roads,262.0,2016.0,2016.0,2018-06-20,,False
763,9780399185045,The Book of Joy: Lasting Happiness in a Changing World,Dalai Lama XIV,2,Avery,354.0,2016.0,2016.0,2018-08-12,,False
764,,The Etymologicon: A Circular Stroll through the Hidden Connections of the English Language,Mark Forsyth,1,Icon Books,252.0,2011.0,2011.0,2018-02-04,,False
765,9780198238577,Linguistic Diversity,Daniel Nettle,4,OUP Oxford,184.0,1999.0,1999.0,2018-02-24,,False
766,9780615129532,"Plants, People and Culture",Michael J. Balick,3,NYBG,228.0,2005.0,1996.0,2018-04-20,,False
767,9780465059942,How We Talk: The Inner Workings of Conversation,N.J. Enfield,5,Basic Books,257.0,2017.0,2017.0,2018-06-30,,True
768,9780525427575,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,3,Viking,576.0,2018.0,2018.0,2018-07-14,,False
769,9780199582945,"Signals: Evolution, Learning, & Information",Brian Skyrms,3,"Oxford University Press, USA",199.0,2010.0,2010.0,2018-04-27,,False
770,9781422143568,Winning the Story Wars: Why Those Who Tell (and Live) the Best Stories Will Rule the Future,Jonah Sachs,2,Harvard Business Review Press,288.0,2012.0,2012.0,2018-08-02,,False
